station_name,station_add,station_long,station_lat
Shell Changi Kembangan,460 Changi Road S419883,103.91288,1.31883
Shell Dunman,743 Dunman Road S439241,103.90102,1.30983
Shell East Coast,338 East Coast Road S428961,103.90991,1.30823
Shell Geylang Lor 7,203 Geylang Road S389266,103.87557,1.31204
Shell Guillemard,132 Guillemard Road S399720,103.8838,1.31062
Shell Hougang,"600 Hougang Ave 3, S538846",103.89014,1.34935
Shell Macpherson,259 Macpherson Road S348584,103.87776,1.33111
Shell Pasir Ris,1 New Loyang Link S506931,103.96707,1.36574
Shell Paya Lebar Macpherson,255 Paya Lebar Road S409037,103.88872,1.33182
Shell Paya Lebar PIE,98 Paya Lebar Road S409008,103.8918,1.32167
Shell Punggol,821 Punggol Road S829169,103.90659,1.40444
Shell Sengkang,61 Sengkang East Road S545015,103.89266,1.39154
Shell Siglap,40 Upper East Coast Road S455212,103.92655,1.31257
Shell Simpang Bedok,331 Bedok Road S469504,103.94759,1.33087
Shell Tampines Ave 2,9 Tampines Ave 2 S529731,103.9477,1.34924
Shell Tanjong Katong,191 Tanjong Katong Road S436993,103.89445,1.31091
Shell Bukit Timah Hill,219 Upper Bukit Timah Road S588186,103.77213,1.3459
Shell Dunearn Eng Neo,"648, Dunearn Road S289629",103.79912,1.33099
Shell Dunearn University,314 Dunearn Road S299551,103.81734,1.32339
Shell Moulmein,103 Moulmein Road S308080,103.84969,1.31889
Shell Newton Circus,143 Bukit Timah Road S229843,103.84224,1.3111
Shell Newton Hooper Road,150 Bukit Timah Road S229846,103.8431,1.31136
Shell Serangoon Road,509 Serangoon Road S218152,103.85719,1.31449
Shell Thomson Novena,324 Thomson Road S307672,103.84221,1.32419
Shell Ang Mo Kio Avenue 6,3535 Ang Mo Kio Ave 6 S569839,103.84472,1.36777
Shell Braddell,110 Braddell Road S359914,103.86457,1.34453
Shell Lake View,80 Upper Thomson Road S574326,103.83833,1.34803
Shell Peirce Reservoir,551 Upper Thomson Road S574415,103.82819,1.37004
Shell Seletar Hills,298 Yio Chu Kang Road S805908,103.87707,1.38358
Shell Sembawang,595 Sembawang Road S758454,103.82438,1.44054
Shell Serangoon Garden,49 Serangoon Garden Way S555944,103.8673,1.36329
Shell Sin Ming,183A Upper Thomson Road S574332,103.83541,1.35126
Shell Toa Payoh,248 Lor 1 Toa Payoh S319755,103.8489,1.34111
Shell Upper Thomson Mandai,1200 Upper Thomson Road S787124,103.81784,1.39991
Shell Woodlands Ave 9,20 Woodlands Ave 9 S738954,103.79008,1.44431
Shell Woodlands Mandai,695 Mandai Road S729752,103.75654,1.41131
Shell Yio Chu Kang,158 Yio Chu Kang Road S545612,103.87394,1.36074
Shell Alexandra,358 Alexandra Road S159950,103.80685,1.29068
Shell Bukit Panjang,772 Upper Bukit Timah Road S678122,103.76339,1.37232
Shell Commonwealth/Stirling Rd,355 Commonwealth Ave S149731,103.80333,1.29754
Shell Havelock,548 Havelock Road S169637,103.83242,1.28986
Shell Jervois,2 Jervois Road S248994,103.82591,1.29332
Shell Outram 305,305 Outram Road S169072,103.83456,1.2868
Shell Queensway Anchorage,260 Queensway S149060,103.80304,1.28935
Shell Telok Blangah,450 Telok Blangah Road S098857,103.81276,1.27042
Shell Tiong Bahru,603 Tiong Bahru Road S158788,103.81957,1.28846
Shell Upper Bukit Timah PIE,35 Upper Bukit Timah Road S588166,103.7768,1.33865
Shell Boon Lay,2 Boon Lay Avenue S649960,103.70779,1.34397
Shell Bukit Batok Nature Park,28 Bukit Batok East Avenue 6 S659760,103.76489,1.34765
Shell Bukit Batok Road,11 Bukit Batok West Avenue 3 S659166,103.73843,1.35025
Shell Choa Chu Kang,20 Choa Chu Kang Drive S689717,103.74648,1.38562
Shell Jalan Ahmad Ibrahim,311 Jalan Ahmad Ibrahim S619595,103.72175,1.32363
Shell Jurong West,21 Jurong West Ave 5 S649481,103.70121,1.35012
Shell Marsiling,10 Marsiling Road S739109,103.77542,1.43834
Shell Pasir Panjang 168,168 Pasir Panjang Road S118556,103.78969,1.27745
Shell Pasir Panjang 328,328 Pasir Panjang Road S118654,103.77785,1.28927
Shell Tuas,121 Tuas South Avenue 5 S637365,103.62572,1.28941
